ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-01-01,64.313961,38.05632577082468,67.95900341482256,64.313961,64.313961,0.03617609986649801,0.03617609986649801,0.03617609986649801,-0.17322831351645201,-0.17322831351645201,-0.17322831351645201,0.3800539766170481,0.3800539766170481,0.3800539766170481,-0.5894583899999981,-0.5894583899999981,-0.5894583899999981,0.0,0.0,0.0,53.17296200040713
2022-01-02,64.31527347358448,-7.875188725080975,22.55426135298384,64.31527347358448,64.31527347358448,0.017397305610243358,0.017397305610243358,0.017397305610243358,-0.8882866862745783,-0.8882866862745783,-0.8882866862745783,-0.316533686443591,-0.316533686443591,-0.316533686443591,-0.5891503054412307,-0.5891503054412307,-0.5891503054412307,0.0,0.0,0.0,7.184872322890836
2022-01-03,64.31658594716896,10.939259911254348,39.692831562807854,64.31658594716896,64.31658594716896,0.0009194870980669383,0.0009194870980669383,0.0009194870980669383,-0.6014086992986496,-0.6014086992986496,-0.6014086992986496,-0.013663688641688918,-0.013663688641688918,-0.013663688641688918,-0.5886644977550275,-0.5886644977550275,-0.5886644977550275,0.0,0.0,0.0,25.636031649352272
2022-01-04,64.31789842075342,11.397025921331474,41.343771831503325,64.31789842075342,64.31789842075342,-0.002502351481482287,-0.002502351481482287,-0.002502351481482287,-0.6016581825135133,-0.6016581825135133,-0.6016581825135133,-0.011166218520910626,-0.011166218520910626,-0.011166218520910626,-0.5879896125111204,-0.5879896125111204,-0.5879896125111204,0.0,0.0,0.0,25.62050855383415
2022-01-05,64.3192108943379,11.377693292296836,41.37318984184582,64.3192108943379,64.3192108943379,0.006640772127317805,0.006640772127317805,0.006640772127317805,-0.6033930560503926,-0.6033930560503926,-0.6033930560503926,-0.02292050225169845,-0.02292050225169845,-0.02292050225169845,-0.587113325926012,-0.587113325926012,-0.587113325926012,0.0,0.0,0.0,25.509445670053648
2022-01-06,64.32052336792238,12.640601970900015,42.97361108029654,64.32052336792238,64.32052336792238,0.017851877824171955,0.017851877824171955,0.017851877824171955,-0.5851133468949756,-0.5851133468949756,-0.5851133468949756,-0.016941500000325287,-0.016941500000325287,-0.016941500000325287,-0.5860237247188221,-0.5860237247188221,-0.5860237247188221,0.0,0.0,0.0,26.685726666080825
2022-01-07,64.32183584150685,12.195131166935791,42.97561641052276,64.32183584150685,64.32183584150685,0.019740970460774478,0.019740970460774478,0.019740970460774478,-0.5637982752127634,-0.5637982752127634,-0.5637982752127634,0.0011716192427961292,0.0011716192427961292,0.0011716192427961292,-0.584710864916334,-0.584710864916334,-0.584710864916334,0.0,0.0,0.0,28.057295735546784
2022-01-08,64.32314831509132,37.314078692561914,67.40220666117641,64.32314831509132,64.32314831509132,0.0090832684244016,0.0090832684244016,0.0090832684244016,-0.19403118920915308,-0.19403118920915308,-0.19403118920915308,0.3800539766175904,0.3800539766175904,0.3800539766175904,-0.5831684342511451,-0.5831684342511451,-0.5831684342511451,0.0,0.0,0.0,51.84245135383742
2022-01-09,64.3244607886758,-9.393745950246338,21.63747744913377,64.3244607886758,64.3244607886758,-0.007458789906774575,-0.007458789906774575,-0.007458789906774575,-0.905387911660547,-0.905387911660547,-0.905387911660547,-0.31653368644371394,-0.31653368644371394,-0.31653368644371394,-0.5813954353100586,-0.5813954353100586,-0.5813954353100586,0.0,0.0,0.0,6.085871566525875
2022-01-10,64.32577326226027,9.870950432930561,38.89585607941101,64.32577326226027,64.32577326226027,-0.019516905632608886,-0.019516905632608886,-0.019516905632608886,-0.6125783964850136,-0.6125783964850136,-0.6125783964850136,-0.013663688640845509,-0.013663688640845509,-0.013663688640845509,-0.579397802211559,-0.579397802211559,-0.579397802211559,0.0,0.0,0.0,24.921194224606314
2022-01-11,64.32708573584475,10.860924232072735,40.03970764824561,64.32708573584475,64.32708573584475,-0.021138995612467813,-0.021138995612467813,-0.021138995612467813,-0.6094950766668217,-0.6094950766668217,-0.6094950766668217,-0.011166218521804189,-0.011166218521804189,-0.011166218521804189,-0.5771898625325497,-0.5771898625325497,-0.5771898625325497,0.0,0.0,0.0,25.12004368352284
2022-01-12,64.32839820942922,10.819608892427453,39.099840245734626,64.32839820942922,64.32839820942922,-0.014141861288292151,-0.014141861288292151,-0.014141861288292151,-0.6118579220984411,-0.6118579220984411,-0.6118579220984411,-0.02292050225354683,-0.02292050225354683,-0.02292050225354683,-0.5747955585566021,-0.5747955585566021,-0.5747955585566021,0.0,0.0,0.0,24.96855814908678
2022-01-13,64.3297106830137,9.92055523116277,40.459889184670814,64.3297106830137,64.3297106830137,-0.0050040906310274864,-0.0050040906310274864,-0.0050040906310274864,-0.5941949382957574,-0.5941949382957574,-0.5941949382957574,-0.016941499999960835,-0.016941499999960835,-0.016941499999960835,-0.5722493476647691,-0.5722493476647691,-0.5722493476647691,0.0,0.0,0.0,26.105322213136446
2022-01-14,64.33102315659818,12.89149597685742,41.77745577498988,64.33102315659818,64.33102315659818,0.0007408917013444585,0.0007408917013444585,0.0007408917013444585,-0.5676841997508718,-0.5676841997508718,-0.5676841997508718,0.0011716192408787185,0.0011716192408787185,0.0011716192408787185,-0.569596710693095,-0.569596710693095,-0.569596710693095,0.0,0.0,0.0,27.811317756789936
